city,area,road,dd_lat,dd_long,dms_lat,dms_long
New Taipei City,,,25.005456,121.622349,"25°00'19.64""N","121°37'20.46""E"
New Taipei City,,,24.931752,121.372574,"24°55'54.31""N","121°22'21.27""E"
New Taipei City,,,25.170053,121.448614,"25°10'12.19""N","121°26'55.01""E"
New Taipei City,,,25.188029,121.436469,"25°11'16.90""N","121°26'11.29""E"
New Taipei City,,,25.186109,121.445446,"25°11'09.99""N","121°26'43.61""E"
New Taipei City,,,25.196131,121.425721,"25°11'46.07""N","121°25'32.60""E"
New Taipei City,,,25.182156,121.426749,"25°10'55.76""N","121°25'36.30""E"
New Taipei City,,,25.200499,121.425111,"25°12'01.80""N","121°25'30.40""E"
New Taipei City,,,25.078337,121.39621,"25°04'42.01""N","121°23'46.36""E"
New Taipei City,,,25.072863,121.366187,"25°04'22.31""N","121°21'58.27""E"
New Taipei City,,,25.077082,121.366956,"25°04'37.50""N","121°22'01.04""E"
New Taipei City,,,25.074029,121.358661,"25°04'26.50""N","121°21'31.18""E"
New Taipei City,,,25.074319,121.356346,"25°04'27.55""N","121°21'22.85""E"
New Taipei City,,,25.023536,121.460919,"25°01'24.73""N","121°27'39.31""E"
New Taipei City,,,25.023854,121.483685,"25°01'25.87""N","121°29'01.27""E"
New Taipei City,,,24.966493,121.440026,"24°57'59.37""N","121°26'24.09""E"
New Taipei City,,,25.014323,121.474828,"25°00'51.56""N","121°28'29.38""E"
New Taipei City,,,24.995433,121.463411,"24°59'43.56""N","121°27'48.28""E"
New Taipei City,,,24.994535,121.462232,"24°59'40.33""N","121°27'44.04""E"
New Taipei City,,,24.995199,121.457342,"24°59'42.72""N","121°27'26.43""E"
New Taipei City,,,24.999212,121.446685,"24°59'57.16""N","121°26'48.07""E"
New Taipei City,,,25.034298,121.480671,"25°02'03.47""N","121°28'50.42""E"
New Taipei City,,,24.983302,121.449084,"24°58'59.89""N","121°26'56.70""E"
New Taipei City,,,24.976944,121.444237,"24°58'37.00""N","121°26'39.25""E"
New Taipei City,,,25.036288,121.479375,"25°02'10.64""N","121°28'45.75""E"
New Taipei City,,,25.007617,121.469879,"25°00'27.42""N","121°28'11.56""E"
New Taipei City,,,25.023549,121.471737,"25°01'24.78""N","121°28'18.25""E"
New Taipei City,,,25.011592,121.471756,"25°00'41.73""N","121°28'18.32""E"
New Taipei City,,,25.221127,121.642768,"25°13'16.06""N","121°38'33.96""E"
New Taipei City,,,25.220773,121.636934,"25°13'14.78""N","121°38'12.96""E"
New Taipei City,,,25.001831,121.616304,"25°00'06.59""N","121°36'58.69""E"
New Taipei City,,,24.930232,121.378393,"24°55'48.84""N","121°22'42.21""E"
New Taipei City,,,24.93002,121.374725,"24°55'48.07""N","121°22'29.01""E"
New Taipei City,,,24.93595,121.354206,"24°56'09.42""N","121°21'15.14""E"
New Taipei City,,,25.186266,121.437492,"25°11'10.56""N","121°26'14.97""E"
New Taipei City,,,25.187138,121.434624,"25°11'13.70""N","121°26'04.65""E"
New Taipei City,,,25.184884,121.423109,"25°11'05.58""N","121°25'23.19""E"
New Taipei City,,,25.19205,121.42872,"25°11'31.38""N","121°25'43.39""E"
New Taipei City,,,25.180845,121.422063,"25°10'51.04""N","121°25'19.43""E"
New Taipei City,,,25.077238,121.386814,"25°04'38.06""N","121°23'12.53""E"
New Taipei City,,,25.073142,121.363142,"25°04'23.31""N","121°21'47.31""E"
New Taipei City,,,25.073648,121.370523,"25°04'25.13""N","121°22'13.88""E"
New Taipei City,,,25.076836,121.356494,"25°04'36.61""N","121°21'23.38""E"
New Taipei City,,,25.080652,121.371874,"25°04'50.35""N","121°22'18.75""E"
New Taipei City,,,25.081996,121.381501,"25°04'55.19""N","121°22'53.40""E"
New Taipei City,,,25.069971,121.371092,"25°04'11.90""N","121°22'15.93""E"
New Taipei City,,,25.075884,121.357222,"25°04'33.18""N","121°21'26.00""E"
New Taipei City,,,25.025472,121.462323,"25°01'31.70""N","121°27'44.36""E"
New Taipei City,,,25.008487,121.464753,"25°00'30.55""N","121°27'53.11""E"
New Taipei City,,,25.026266,121.473827,"25°01'34.56""N","121°28'25.78""E"
New Taipei City,,,24.99411,121.457379,"24°59'38.80""N","121°27'26.56""E"
New Taipei City,,,25.003305,121.462473,"25°00'11.90""N","121°27'44.90""E"
New Taipei City,,,25.023757,121.468843,"25°01'25.53""N","121°28'07.83""E"
New Taipei City,,,24.964219,121.438153,"24°57'51.19""N","121°26'17.35""E"
New Taipei City,,,25.000679,121.458836,"25°00'02.44""N","121°27'31.81""E"
New Taipei City,,,24.985083,121.418113,"24°59'06.30""N","121°25'05.21""E"
New Taipei City,,,25.001209,121.417054,"25°00'04.35""N","121°25'01.39""E"
New Taipei City,,,24.952394,121.343858,"24°57'08.62""N","121°20'37.89""E"
New Taipei City,,,24.956303,121.353767,"24°57'22.69""N","121°21'13.56""E"
New Taipei City,,,25.219745,121.638074,"25°13'11.08""N","121°38'17.07""E"
New Taipei City,,,25.002315,121.61578,"25°00'08.33""N","121°36'56.81""E"
New Taipei City,,,24.935905,121.360564,"24°56'09.26""N","121°21'38.03""E"
New Taipei City,,,24.934375,121.368816,"24°56'03.75""N","121°22'07.74""E"
New Taipei City,,,24.95013,121.37865,"24°57'00.47""N","121°22'43.14""E"
New Taipei City,,,24.938186,121.377441,"24°56'17.47""N","121°22'38.79""E"
New Taipei City,,,24.928663,121.376149,"24°55'43.19""N","121°22'34.14""E"
New Taipei City,,,25.159284,121.459962,"25°09'33.42""N","121°27'35.86""E"
New Taipei City,,,25.193936,121.435305,"25°11'38.17""N","121°26'07.10""E"
New Taipei City,,,25.189498,121.428351,"25°11'22.19""N","121°25'42.06""E"
New Taipei City,,,25.185111,121.423485,"25°11'06.40""N","121°25'24.55""E"
New Taipei City,,,25.186058,121.423711,"25°11'09.81""N","121°25'25.36""E"
New Taipei City,,,25.069837,121.366818,"25°04'11.41""N","121°22'00.54""E"
New Taipei City,,,25.073944,121.369571,"25°04'26.20""N","121°22'10.46""E"
New Taipei City,,,25.066291,121.366835,"25°03'58.65""N","121°22'00.61""E"
New Taipei City,,,25.068613,121.369599,"25°04'07.01""N","121°22'10.56""E"
New Taipei City,,,25.075552,121.396582,"25°04'31.99""N","121°23'47.70""E"
New Taipei City,,,25.077901,121.367878,"25°04'40.44""N","121°22'04.36""E"
New Taipei City,,,25.074225,121.374169,"25°04'27.21""N","121°22'27.01""E"
New Taipei City,,,25.088046,121.383323,"25°05'16.97""N","121°22'59.96""E"
New Taipei City,,,25.074955,121.381748,"25°04'29.84""N","121°22'54.29""E"
New Taipei City,,,25.066201,121.36125,"25°03'58.32""N","121°21'40.50""E"
New Taipei City,,,25.077482,121.400632,"25°04'38.94""N","121°24'02.28""E"
New Taipei City,,,25.085023,121.3736,"25°05'06.08""N","121°22'24.96""E"
New Taipei City,,,25.011799,121.479006,"25°00'42.48""N","121°28'44.42""E"
New Taipei City,,,25.022655,121.471527,"25°01'21.56""N","121°28'17.50""E"
New Taipei City,,,25.01066,121.4576,"25°00'38.38""N","121°27'27.36""E"
New Taipei City,,,24.979917,121.467692,"24°58'47.70""N","121°28'03.69""E"
New Taipei City,,,24.961291,121.422541,"24°57'40.65""N","121°25'21.15""E"
New Taipei City,,,24.989566,121.430547,"24°59'22.44""N","121°25'49.97""E"
New Taipei City,,,25.021717,121.452531,"25°01'18.18""N","121°27'09.11""E"
New Taipei City,,,25.043236,121.444702,"25°02'35.65""N","121°26'40.93""E"
New Taipei City,,,25.222512,121.636901,"25°13'21.04""N","121°38'12.84""E"
New Taipei City,,,24.932212,121.374737,"24°55'55.96""N","121°22'29.05""E"
New Taipei City,,,25.157879,121.459253,"25°09'28.36""N","121°27'33.31""E"
New Taipei City,,,25.197873,121.436773,"25°11'52.34""N","121°26'12.38""E"
New Taipei City,,,25.184261,121.422976,"25°11'03.34""N","121°25'22.71""E"
New Taipei City,,,25.187966,121.415664,"25°11'16.68""N","121°24'56.39""E"
New Taipei City,,,25.191291,121.43659,"25°11'28.65""N","121°26'11.72""E"
New Taipei City,,,25.179401,121.422232,"25°10'45.84""N","121°25'20.04""E"
New Taipei City,,,25.08266,121.387414,"25°04'57.58""N","121°23'14.69""E"
New Taipei City,,,25.073632,121.362543,"25°04'25.08""N","121°21'45.15""E"
New Taipei City,,,25.089308,121.386714,"25°05'21.51""N","121°23'12.17""E"
New Taipei City,,,25.069698,121.369824,"25°04'10.91""N","121°22'11.37""E"
New Taipei City,,,25.071067,121.360373,"25°04'15.84""N","121°21'37.34""E"
New Taipei City,,,25.072198,121.355145,"25°04'19.91""N","121°21'18.52""E"
New Taipei City,,,25.084203,121.374159,"25°05'03.13""N","121°22'26.97""E"
New Taipei City,,,25.029123,121.468545,"25°01'44.84""N","121°28'06.76""E"
New Taipei City,,,24.988685,121.429845,"24°59'19.27""N","121°25'47.44""E"
New Taipei City,,,24.992104,121.454479,"24°59'31.57""N","121°27'16.12""E"
New Taipei City,,,24.995544,121.450706,"24°59'43.96""N","121°27'02.54""E"
New Taipei City,,,24.970483,121.439861,"24°58'13.74""N","121°26'23.50""E"
New Taipei City,,,25.01367,121.47539,"25°00'49.21""N","121°28'31.40""E"
New Taipei City,,,24.991259,121.460556,"24°59'28.53""N","121°27'38.00""E"
New Taipei City,,,24.98817,121.460423,"24°59'17.41""N","121°27'37.52""E"
New Taipei City,,,24.988606,121.426703,"24°59'18.98""N","121°25'36.13""E"
New Taipei City,,,24.984089,121.446758,"24°59'02.72""N","121°26'48.33""E"
New Taipei City,,,25.005,121.461971,"25°00'18.00""N","121°27'43.10""E"
New Taipei City,,,24.979241,121.440049,"24°58'45.27""N","121°26'24.18""E"
New Taipei City,,,24.97685,121.441351,"24°58'36.66""N","121°26'28.86""E"
New Taipei City,,,24.984286,121.460959,"24°59'03.43""N","121°27'39.45""E"
New Taipei City,,,25.004045,121.449157,"25°00'14.56""N","121°26'56.97""E"
New Taipei City,,,25.008806,121.459846,"25°00'31.70""N","121°27'35.45""E"
New Taipei City,,,25.218031,121.641792,"25°13'04.91""N","121°38'30.45""E"
New Taipei City,,,25.186664,121.427146,"25°11'11.99""N","121°25'37.73""E"
New Taipei City,,,25.181545,121.422628,"25°10'53.56""N","121°25'21.46""E"
New Taipei City,,,25.184297,121.420486,"25°11'03.47""N","121°25'13.75""E"
New Taipei City,,,25.19798,121.428736,"25°11'52.73""N","121°25'43.45""E"
New Taipei City,,,25.075854,121.395895,"25°04'33.07""N","121°23'45.22""E"
New Taipei City,,,25.08078,121.389083,"25°04'50.81""N","121°23'20.70""E"
New Taipei City,,,25.078042,121.383176,"25°04'40.95""N","121°22'59.43""E"
New Taipei City,,,25.070944,121.362666,"25°04'15.40""N","121°21'45.60""E"
New Taipei City,,,25.073041,121.376365,"25°04'22.95""N","121°22'34.91""E"
New Taipei City,,,25.09134,121.379378,"25°05'28.82""N","121°22'45.76""E"
New Taipei City,,,25.021355,121.459805,"25°01'16.88""N","121°27'35.30""E"
New Taipei City,,,25.020759,121.481039,"25°01'14.73""N","121°28'51.74""E"
New Taipei City,,,25.012562,121.457119,"25°00'45.22""N","121°27'25.63""E"
New Taipei City,,,24.99405,121.453403,"24°59'38.58""N","121°27'12.25""E"
New Taipei City,,,24.990329,121.447515,"24°59'25.18""N","121°26'51.05""E"
New Taipei City,,,24.993526,121.459588,"24°59'36.69""N","121°27'34.52""E"
New Taipei City,,,25.011735,121.47023,"25°00'42.25""N","121°28'12.83""E"
New Taipei City,,,25.009084,121.471492,"25°00'32.70""N","121°28'17.37""E"
New Taipei City,,,24.983702,121.461216,"24°59'01.33""N","121°27'40.38""E"
New Taipei City,,,24.992846,121.424189,"24°59'34.25""N","121°25'27.08""E"
New Taipei City,,,24.989447,121.416279,"24°59'22.01""N","121°24'58.60""E"
New Taipei City,,,24.997352,121.426089,"24°59'50.47""N","121°25'33.92""E"
New Taipei City,,,24.978149,121.406995,"24°58'41.34""N","121°24'25.18""E"
New Taipei City,,,24.975347,121.403578,"24°58'31.25""N","121°24'12.88""E"
New Taipei City,,,24.998125,121.421944,"24°59'53.25""N","121°25'19.00""E"
New Taipei City,,,24.939636,121.33697,"24°56'22.69""N","121°20'13.09""E"
New Taipei City,,,24.959234,121.338352,"24°57'33.24""N","121°20'18.07""E"
New Taipei City,,,24.959983,121.332763,"24°57'35.94""N","121°19'57.95""E"
New Taipei City,,,25.155543,121.405624,"25°09'19.95""N","121°24'20.25""E"
New Taipei City,,,25.149235,121.401255,"25°08'57.25""N","121°24'04.52""E"
New Taipei City,,,25.087538,121.375286,"25°05'15.14""N","121°22'31.03""E"
New Taipei City,,,25.015702,121.470261,"25°00'56.53""N","121°28'12.94""E"
New Taipei City,,,25.019429,121.47099,"25°01'09.94""N","121°28'15.56""E"
New Taipei City,,,25.027157,121.466823,"25°01'37.77""N","121°28'00.56""E"
New Taipei City,,,25.011585,121.450713,"25°00'41.71""N","121°27'02.57""E"
New Taipei City,,,25.014803,121.460837,"25°00'53.29""N","121°27'39.01""E"
New Taipei City,,,24.993939,121.422282,"24°59'38.18""N","121°25'20.22""E"
New Taipei City,,,24.999747,121.427187,"24°59'59.09""N","121°25'37.87""E"
New Taipei City,,,24.998513,121.425675,"24°59'54.65""N","121°25'32.43""E"
New Taipei City,,,24.976459,121.412748,"24°58'35.25""N","121°24'45.89""E"
New Taipei City,,,24.956259,121.356525,"24°57'22.53""N","121°21'23.49""E"
New Taipei City,,,24.955452,121.346828,"24°57'19.63""N","121°20'48.58""E"
New Taipei City,,,24.953986,121.34904,"24°57'14.35""N","121°20'56.54""E"
New Taipei City,,,24.942109,121.338459,"24°56'31.59""N","121°20'18.45""E"
New Taipei City,,,24.956318,121.340065,"24°57'22.74""N","121°20'24.23""E"
New Taipei City,,,24.958072,121.333162,"24°57'29.06""N","121°19'59.38""E"
New Taipei City,,,25.162308,121.42445,"25°09'44.31""N","121°25'28.02""E"
New Taipei City,,,25.136007,121.450061,"25°08'09.63""N","121°27'00.22""E"
New Taipei City,,,25.126185,121.451218,"25°07'34.27""N","121°27'04.38""E"
New Taipei City,,,25.092819,121.460817,"25°05'34.15""N","121°27'38.94""E"
New Taipei City,,,25.086666,121.475859,"25°05'12.00""N","121°28'33.09""E"
New Taipei City,,,25.082719,121.456965,"25°04'57.79""N","121°27'25.07""E"
New Taipei City,,,25.069354,121.478801,"25°04'09.67""N","121°28'43.68""E"
New Taipei City,,,25.052268,121.471968,"25°03'08.16""N","121°28'19.08""E"
New Taipei City,,,25.047894,121.474829,"25°02'52.42""N","121°28'29.38""E"
New Taipei City,,,25.059745,121.472386,"25°03'35.08""N","121°28'20.59""E"
New Taipei City,,,25.062652,121.481303,"25°03'45.55""N","121°28'52.69""E"
New Taipei City,,,25.083634,121.462351,"25°05'01.08""N","121°27'44.46""E"
New Taipei City,,,25.060766,121.502524,"25°03'38.76""N","121°30'09.09""E"
New Taipei City,,,25.063057,121.661429,"25°03'47.01""N","121°39'41.14""E"
New Taipei City,,,25.092487,121.474926,"25°05'32.95""N","121°28'29.73""E"
New Taipei City,,,24.963408,121.51973,"24°57'48.27""N","121°31'11.03""E"
New Taipei City,,,25.070475,121.667908,"25°04'13.71""N","121°40'04.47""E"
New Taipei City,,,24.990019,121.430782,"24°59'24.07""N","121°25'50.82""E"
New Taipei City,,,25.073875,121.484863,"25°04'25.95""N","121°29'05.51""E"
New Taipei City,,,25.222379,121.644298,"25°13'20.56""N","121°38'39.47""E"
New Taipei City,,,24.991482,121.657135,"24°59'29.34""N","121°39'25.69""E"
New Taipei City,,,24.950651,121.381166,"24°57'02.34""N","121°22'52.20""E"
New Taipei City,,,24.948807,121.385102,"24°56'55.71""N","121°23'06.37""E"
New Taipei City,,,24.935992,121.375036,"24°56'09.57""N","121°22'30.13""E"
New Taipei City,,,24.942081,121.375961,"24°56'31.49""N","121°22'33.46""E"
New Taipei City,,,25.17645,121.456632,"25°10'35.22""N","121°27'23.88""E"
New Taipei City,,,25.19072,121.445694,"25°11'26.59""N","121°26'44.50""E"
New Taipei City,,,25.185566,121.444272,"25°11'08.04""N","121°26'39.38""E"
New Taipei City,,,25.192273,121.436365,"25°11'32.18""N","121°26'10.91""E"
New Taipei City,,,24.940675,121.3391,"24°56'26.43""N","121°20'20.76""E"
New Taipei City,,,24.941861,121.339794,"24°56'30.70""N","121°20'23.26""E"
New Taipei City,,,25.154316,121.440534,"25°09'15.54""N","121°26'25.92""E"
New Taipei City,,,25.154183,121.404795,"25°09'15.06""N","121°24'17.26""E"
New Taipei City,,,25.037911,121.425041,"25°02'16.48""N","121°25'30.15""E"
New Taipei City,,,25.085836,121.487798,"25°05'09.01""N","121°29'16.07""E"
New Taipei City,,,25.073569,121.486634,"25°04'24.85""N","121°29'11.88""E"
New Taipei City,,,25.072127,121.495756,"25°04'19.66""N","121°29'44.72""E"
New Taipei City,,,25.073397,121.500851,"25°04'24.23""N","121°30'03.06""E"
New Taipei City,,,25.047923,121.479073,"25°02'52.52""N","121°28'44.66""E"
New Taipei City,,,25.04927,121.490496,"25°02'57.37""N","121°29'25.79""E"
New Taipei City,,,25.056765,121.482246,"25°03'24.35""N","121°28'56.09""E"
New Taipei City,,,25.049237,121.490865,"25°02'57.25""N","121°29'27.11""E"
New Taipei City,,,25.061009,121.658144,"25°03'39.63""N","121°39'29.32""E"
New Taipei City,,,25.067882,121.659154,"25°04'04.38""N","121°39'32.95""E"
New Taipei City,,,25.061023,121.642589,"25°03'39.68""N","121°38'33.32""E"
New Taipei City,,,25.061089,121.656892,"25°03'39.92""N","121°39'24.81""E"
New Taipei City,,,25.060365,121.638635,"25°03'37.31""N","121°38'19.09""E"
New Taipei City,,,25.05973,121.644655,"25°03'35.03""N","121°38'40.76""E"
New Taipei City,,,25.064085,121.655157,"25°03'50.71""N","121°39'18.57""E"
New Taipei City,,,25.061952,121.660397,"25°03'43.03""N","121°39'37.43""E"
New Taipei City,,,25.020916,121.428053,"25°01'15.30""N","121°25'40.99""E"
New Taipei City,,,25.026827,121.42856,"25°01'36.58""N","121°25'42.82""E"
New Taipei City,,,25.024419,121.415051,"25°01'27.91""N","121°24'54.18""E"
New Taipei City,,,25.029656,121.413833,"25°01'46.76""N","121°24'49.80""E"
New Taipei City,,,25.037432,121.434124,"25°02'14.76""N","121°26'02.85""E"
New Taipei City,,,25.003151,121.506296,"25°00'11.34""N","121°30'22.67""E"
New Taipei City,,,25.005757,121.484241,"25°00'20.73""N","121°29'03.27""E"
New Taipei City,,,24.998652,121.512349,"24°59'55.15""N","121°30'44.46""E"
New Taipei City,,,25.013689,121.486967,"25°00'49.28""N","121°29'13.08""E"
New Taipei City,,,25.003366,121.514586,"25°00'12.12""N","121°30'52.51""E"
New Taipei City,,,25.010879,121.463898,"25°00'39.16""N","121°27'50.03""E"
New Taipei City,,,24.977203,121.410899,"24°58'37.93""N","121°24'39.24""E"
New Taipei City,,,24.972685,121.396722,"24°58'21.67""N","121°23'48.20""E"
New Taipei City,,,24.974863,121.333949,"24°58'29.51""N","121°20'02.22""E"
New Taipei City,,,24.941902,121.33925,"24°56'30.85""N","121°20'21.30""E"
New Taipei City,,,24.94234,121.34121,"24°56'32.42""N","121°20'28.36""E"
New Taipei City,,,24.956555,121.352812,"24°57'23.60""N","121°21'10.12""E"
New Taipei City,,,24.956687,121.340521,"24°57'24.07""N","121°20'25.88""E"
New Taipei City,,,24.946444,121.34126,"24°56'47.20""N","121°20'28.54""E"
New Taipei City,,,25.158754,121.408677,"25°09'31.51""N","121°24'31.24""E"
New Taipei City,,,25.157844,121.41746,"25°09'28.24""N","121°25'02.86""E"
New Taipei City,,,25.083983,121.475874,"25°05'02.34""N","121°28'33.15""E"
New Taipei City,,,25.067416,121.500701,"25°04'02.70""N","121°30'02.52""E"
New Taipei City,,,25.091444,121.489057,"25°05'29.20""N","121°29'20.61""E"
New Taipei City,,,25.071185,121.483903,"25°04'16.27""N","121°29'02.05""E"
New Taipei City,,,25.048583,121.474165,"25°02'54.90""N","121°28'26.99""E"
New Taipei City,,,25.069594,121.669439,"25°04'10.54""N","121°40'09.98""E"
New Taipei City,,,25.063541,121.656143,"25°03'48.75""N","121°39'22.11""E"
New Taipei City,,,25.070384,121.642998,"25°04'13.38""N","121°38'34.79""E"
New Taipei City,,,25.073162,121.659016,"25°04'23.38""N","121°39'32.46""E"
New Taipei City,,,25.063009,121.66269,"25°03'46.83""N","121°39'45.68""E"
New Taipei City,,,25.081329,121.638736,"25°04'52.78""N","121°38'19.45""E"
New Taipei City,,,25.068832,121.640352,"25°04'07.80""N","121°38'25.27""E"
New Taipei City,,,25.08887,121.64554,"25°05'19.93""N","121°38'43.94""E"
New Taipei City,,,25.068115,121.667054,"25°04'05.21""N","121°40'01.39""E"
New Taipei City,,,25.035107,121.443471,"25°02'06.39""N","121°26'36.50""E"
New Taipei City,,,25.026527,121.414058,"25°01'35.50""N","121°24'50.61""E"
New Taipei City,,,25.052631,121.447984,"25°03'09.47""N","121°26'52.74""E"
New Taipei City,,,25.040068,121.442352,"25°02'24.24""N","121°26'32.47""E"
New Taipei City,,,25.024169,121.414601,"25°01'27.01""N","121°24'52.56""E"
New Taipei City,,,25.05879,121.449931,"25°03'31.64""N","121°26'59.75""E"
New Taipei City,,,25.015419,121.467108,"25°00'55.51""N","121°28'01.59""E"
New Taipei City,,,24.983512,121.418747,"24°59'00.64""N","121°25'07.49""E"
New Taipei City,,,24.974063,121.404883,"24°58'26.63""N","121°24'17.58""E"
New Taipei City,,,24.999519,121.427054,"24°59'58.27""N","121°25'37.39""E"
New Taipei City,,,24.955811,121.347084,"24°57'20.92""N","121°20'49.50""E"
New Taipei City,,,24.974617,121.333776,"24°58'28.62""N","121°20'01.59""E"
New Taipei City,,,24.976106,121.332105,"24°58'33.98""N","121°19'55.58""E"
New Taipei City,,,24.970451,121.333801,"24°58'13.62""N","121°20'01.68""E"
New Taipei City,,,24.947615,121.340625,"24°56'51.41""N","121°20'26.25""E"
New Taipei City,,,25.130691,121.450741,"25°07'50.49""N","121°27'02.67""E"
New Taipei City,,,25.148262,121.39709,"25°08'53.74""N","121°23'49.52""E"
New Taipei City,,,25.151971,121.408124,"25°09'07.10""N","121°24'29.25""E"
New Taipei City,,,25.148897,121.395567,"25°08'56.03""N","121°23'44.04""E"
New Taipei City,,,25.151093,121.407225,"25°09'03.93""N","121°24'26.01""E"
New Taipei City,,,25.03186,121.424133,"25°01'54.70""N","121°25'26.88""E"
New Taipei City,,,25.035037,121.423061,"25°02'06.13""N","121°25'23.02""E"
New Taipei City,,,25.058372,121.42801,"25°03'30.14""N","121°25'40.84""E"
New Taipei City,,,25.033108,121.420504,"25°01'59.19""N","121°25'13.81""E"
New Taipei City,,,25.091087,121.462456,"25°05'27.91""N","121°27'44.84""E"
New Taipei City,,,25.083667,121.461473,"25°05'01.20""N","121°27'41.30""E"
New Taipei City,,,25.086216,121.45987,"25°05'10.38""N","121°27'35.53""E"
New Taipei City,,,25.08607,121.471303,"25°05'09.85""N","121°28'16.69""E"
New Taipei City,,,25.0911,121.490066,"25°05'27.96""N","121°29'24.24""E"
New Taipei City,,,25.088494,121.488585,"25°05'18.58""N","121°29'18.91""E"
New Taipei City,,,25.076849,121.500461,"25°04'36.66""N","121°30'01.66""E"
New Taipei City,,,25.057182,121.499109,"25°03'25.86""N","121°29'56.79""E"
New Taipei City,,,25.071839,121.492312,"25°04'18.62""N","121°29'32.32""E"
New Taipei City,,,25.048202,121.477545,"25°02'53.53""N","121°28'39.16""E"
New Taipei City,,,25.05392,121.495854,"25°03'14.11""N","121°29'45.07""E"
New Taipei City,,,25.056674,121.487552,"25°03'24.03""N","121°29'15.19""E"
New Taipei City,,,25.051393,121.487037,"25°03'05.01""N","121°29'13.33""E"
New Taipei City,,,25.064932,121.662677,"25°03'53.76""N","121°39'45.64""E"
New Taipei City,,,25.123907,121.451139,"25°07'26.07""N","121°27'04.10""E"
New Taipei City,,,25.161736,121.428306,"25°09'42.25""N","121°25'41.90""E"
New Taipei City,,,25.064503,121.431896,"25°03'52.21""N","121°25'54.83""E"
New Taipei City,,,25.081362,121.477968,"25°04'52.90""N","121°28'40.68""E"
New Taipei City,,,25.095154,121.45943,"25°05'42.55""N","121°27'33.95""E"
New Taipei City,,,25.08181,121.475646,"25°04'54.52""N","121°28'32.33""E"
New Taipei City,,,25.084341,121.488241,"25°05'03.63""N","121°29'17.67""E"
New Taipei City,,,25.057744,121.486786,"25°03'27.88""N","121°29'12.43""E"
New Taipei City,,,25.049184,121.472805,"25°02'57.06""N","121°28'22.10""E"
New Taipei City,,,25.053734,121.491232,"25°03'13.44""N","121°29'28.44""E"
New Taipei City,,,25.060652,121.479831,"25°03'38.35""N","121°28'47.39""E"
New Taipei City,,,25.061853,121.482546,"25°03'42.67""N","121°28'57.17""E"
New Taipei City,,,25.076198,121.640961,"25°04'34.31""N","121°38'27.46""E"
New Taipei City,,,25.068404,121.640419,"25°04'06.25""N","121°38'25.51""E"
New Taipei City,,,25.070658,121.631945,"25°04'14.37""N","121°37'55.00""E"
New Taipei City,,,25.076999,121.667526,"25°04'37.20""N","121°40'03.09""E"
New Taipei City,,,25.048573,121.617928,"25°02'54.86""N","121°37'04.54""E"
New Taipei City,,,25.071552,121.65474,"25°04'17.59""N","121°39'17.06""E"
New Taipei City,,,25.090811,121.644253,"25°05'26.92""N","121°38'39.31""E"
New Taipei City,,,25.020637,121.427383,"25°01'14.29""N","121°25'38.58""E"
New Taipei City,,,25.039573,121.447218,"25°02'22.46""N","121°26'49.98""E"
